customer_id,signup_date,last_order_date,age,region,state,channel,annual_income,orders,total_spent,email,newsletter_opt_in
10001,2020-08-28,2021-08-26,39,Southeast,GA,In-Store,"$53,963",4,608.81,customer10001@harborline.com,No
10003,2020-12-27,2023-01-01,52,Northeast,Connecticut,In-Store,"$73,241",3,649.63,customer10003@harborline.com,No
10009,2023-08-25,2024-08-31,28,Midwest,IL,Online,"$25,770",2,269.39,customer10009@harborline.com,No
10010,2024-10-13,11/02/2024,22,Midwest,Ohio,Online,"$22,320",6,513.03,customer10010@harborline.com,Yes
10011,2024-05-14,2023-10-13,37,Midwest,WI,Online,"$62,349",4,838.06,customer10011@harborline.com,Yes
10013,2020-10-26,2028-01-09,40,Midwest,Ohio,Online,"$73,338",0,600.21,customer10013@harborline.com,Yes
10014,2021-07-18,28-Aug-2022,53,Southeast,NC,Online,"$53,651",3,375.21,customer10014@harborline.com,No
10016,2026-01-11,2026-08-31,46,Midwest,MN,Phone,"$35,016",0,578.56,customer10016@harborline.com,Yes
10016,2026-01-11,2026-08-31,46,Midwest,MN,Phone,"$35,016",0,578.56,customer10016@harborline.com,Yes
10017,2021-04-11,2022-05-24,45,West,Washington,Phone,N/A,3,282.36,customer10017@harborline.com,No
10019,10/10/2022,2023-05-13,58,Southeast,VA,Online,"$55,508",4,469.57,customer10019@harborline.com,No
10029,2023-06-06,2024-09-18,50,Midwest,MN,Online,"$81,295",8,"2,291.64",customer10029@harborline.com,Yes
10032,2019-07-21,2021-05-11,66,West,AZ,In-Store,"$56,993",6,652.10,customer10032,No
10033,2024-05-22,2026-04-14,54,Northeast,Connecticut,In-Store,"$62,539",7,"1,121.62",customer10033@harborline.com,TRUE
10034,2019-11-06,2020-01-01,66,Midwest,Ohio,Phone,"$57,677",5,824.03,customer10034@harborline.com,No
10035,2020-02-05,2021-11-26,44,Midwest,MI,Online,"$45,022",4,484.78,customer10035@harborline.com,Yes
10039,2023-04-14,2025-07-11,37,Southeast,GA,Online,"$58,431",5,761.74,customer10039@harborline.com,YES
10040,2022-11-25,2024-05-02,67,Northeast,NJ,In-Store,"$89,862",5,922.30,customer10040@harborline.com,No
10043,2020-01-25,2022-05-13,50,Southeast,Florida,Online,"$52,888",3,345.74,customer10043@harborline.com,No
10045,2025-02-06,2025-11-30,55,Midwest,IL,Online,"$81,575",13,"3,193.98",customer10045@harborline.com,No
10049,2025-12-04,2026-01-07,68,Northeast,PA,Online,"$80,277",6,"1,355.64",customer10049@harborline.com,Yes
10050,2019-11-23,2018-11-16,203,Northeast,Connecticut,Online,"$50,608",4,535.44,customer10050@harborline.com,Yes
10054,2021-07-05,2023-11-28,71,Northeast,Connecticut,Online,"$36,736",3,373.97,customer10054@harborline.com,No
10059,27-Jan-2023,2023-02-05,64,Midwest,MI,Online,"$54,687",2,366.71,customer10059@harborline.com,Yes
10060,2025-03-23,2026-08-31,21,Midwest,IL,In-Store,"$19,000",3,282.32,customer10060@harborline.com,Yes
10063,2025-09-07,2025-09-15,33,Northeast,PA,Online,"$73,993",9,"1,666.40",customer10063@harborline.com,Yes
10066,2022-12-02,2025-04-01,52,Northeast,MA,In-Store,"$65,037",3,392.10,customer10066@harborline.com,Yes
10069,2019-04-05,2020-02-15,65,Midwest,Ohio,phone,"$92,641",14,"1,560.74",customer10069@harborline.com,No
10071,2024-05-26,2024-10-25,43,Southeast,SC,Online,"$66,852",5,939.94,customer10071@harborline.com,Yes
