customer_id,signup_date,last_order_date,age,region,state,channel,annual_income,orders,total_spent,email,newsletter_opt_in,email_valid,region_imputed,age_imputed,annual_income_imputed,total_spent_missing,tenure_days,days_since_last_order,avg_order_value
10001,2020-08-28,2021-08-26,39,Southeast,GA,In-Store,53963,4,608.81,customer10001@harborline.com,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2194,1831,152.2
10003,2020-12-27,2023-01-01,52,Northeast,CT,In-Store,73241,3,649.63,customer10003@harborline.com,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2073,1338,216.54
10009,2023-08-25,2024-08-31,28,Midwest,IL,Online,25770,2,269.39,customer10009@harborline.com,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1102,730,134.7
10010,2024-10-13,2024-11-02,22,Midwest,OH,Online,22320,6,513.03,customer10010@harborline.com,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,687,667,85.5
10011,2024-05-14,NA,37,Midwest,WI,Online,62349,4,838.06,customer10011@harborline.com,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,839,NA,209.51
10013,2020-10-26,NA,40,Midwest,OH,Online,73338,NA,600.21,customer10013@harborline.com,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2135,NA,NA
10014,2021-07-18,2022-08-28,53,Southeast,NC,Online,53651,3,375.21,customer10014@harborline.com,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1870,1464,125.07
10016,2026-01-11,2026-08-31,46,Midwest,MN,Phone,35016,NA,578.56,customer10016@harborline.com,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,232,0,NA
10017,2021-04-11,2022-05-24,45,West,WA,Phone,53630,3,282.36,customer10017@harborline.com,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1968,1560,94.12
10019,2022-10-10,2023-05-13,58,Southeast,VA,Online,55508,4,469.57,customer10019@harborline.com,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1421,1206,117.39
10029,2023-06-06,2024-09-18,50,Midwest,MN,Online,81295,8,2291.64,customer10029@harborline.com,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1182,712,286.46
10032,2019-07-21,2021-05-11,66,West,AZ,In-Store,56993,6,652.1,customer10032,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2598,1938,108.68
10033,2024-05-22,2026-04-14,54,Northeast,CT,In-Store,62539,7,1121.62,customer10033@harborline.com,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,831,139,160.23
10034,2019-11-06,2020-01-01,66,Midwest,OH,Phone,57677,5,824.03,customer10034@harborline.com,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2490,2434,164.81
